joint_axis,importance
L_foot_1_x,0.00048169556840090835
L_foot_1_y,1.4436151926644492e-16
L_foot_1_z,-0.0004816955684006863
L_foot_2_x,1.332484469984685e-16
L_foot_2_y,0.0004335260115608697
L_foot_2_z,-0.00014450867052018257
L_foot_3_x,-0.0005298651252407139
L_foot_3_y,-0.002215799614643366
L_foot_3_z,-0.00038535645472054236
L_foot_4_x,9.633911368024382e-05
L_foot_4_y,-0.001011560693641511
L_foot_4_z,-9.63391136801217e-05
L_shank_1_x,-0.0001445086705201604
L_shank_1_y,-0.0007707129094410626
L_shank_1_z,-0.0003371868978804926
L_shank_2_x,0.0006743737957611406
L_shank_2_y,0.00028901734104057607
L_shank_2_z,-0.0004335260115606365
L_shank_3_x,-0.0011560693641617381
L_shank_3_y,-0.0008670520231212175
L_shank_3_z,-0.0009152215799613672
L_shank_4_x,-0.000337186897880426
L_shank_4_y,-0.00033718689788049257
L_shank_4_z,-4.816955684006085e-05
L_thigh_1_x,-0.00028901734104033185
L_thigh_1_y,-0.0013005780346819651
L_thigh_1_z,-0.0011560693641617381
L_thigh_2_x,-0.0015414258188824028
L_thigh_2_y,-0.0013487475915220037
L_thigh_2_z,-0.0002890173410403985
L_thigh_3_x,-0.0005298651252407249
L_thigh_3_y,-0.00019267822736027674
L_thigh_3_z,-0.0005780346820808525
L_thigh_4_x,-0.0004335260115605255
L_thigh_4_y,-0.001493256262042253
L_thigh_4_z,-0.0013487475915220813
R_foot_1_x,-0.001156069364161727
R_foot_1_y,-0.00033718689788039266
R_foot_1_z,-0.0004816955684006641
R_foot_2_x,-0.0012524084778418598
R_foot_2_y,0.0007707129094413844
R_foot_2_z,-0.0008188824662812122
R_foot_3_x,-0.0007707129094411734
R_foot_3_y,-0.0019749518304430615
R_foot_3_z,-0.000722543352601046
R_foot_4_x,-0.0002408477842001822
R_foot_4_y,-0.0002890173410403318
R_foot_4_z,-0.00024084778420032645
R_shank_1_x,0.0006262042389211242
R_shank_1_y,-0.0015895953757223524
R_shank_1_z,-0.0005298651252408248
R_shank_2_x,-0.001348747591522015
R_shank_2_y,0.00014450867052036024
R_shank_2_z,-0.0006743737957610075
R_shank_3_x,-0.0010597302504815498
R_shank_3_y,-0.0009633911368014614
R_shank_3_z,-0.001059730250481583
R_shank_4_x,-0.0004335260115605255
R_shank_4_y,-0.0010115606936415332
R_shank_4_z,-0.00043352601156062545
R_thigh_1_x,-0.0016859344894026404
R_thigh_1_y,-0.0008188824662812233
R_thigh_1_z,9.633911368017724e-05
R_thigh_2_x,0.00014450867052033794
R_thigh_2_y,-0.00048169556840067524
R_thigh_2_z,-0.0008188824662812233
R_thigh_3_x,-0.0023603082851636923
R_thigh_3_y,-0.0007707129094411513
R_thigh_3_z,-0.00038535645472057565
R_thigh_4_x,-0.001782273603082718
R_thigh_4_y,-0.0014450867052021809
R_thigh_4_z,-9.633911368014391e-05
pelvis_1_x,9.633911368034373e-05
pelvis_1_y,-0.00139691714836212
pelvis_1_z,-0.0009152215799613673
pelvis_2_x,0.0007707129094413733
pelvis_2_y,-0.00028901734104036514
pelvis_2_z,-0.0002890173410404317
pelvis_3_x,0.0006262042389211354
pelvis_3_y,1.2215570352122618e-16
pelvis_3_z,-0.0005298651252407693
pelvis_4_x,-0.0011078998073215886
pelvis_4_y,-0.0008188824662812344
pelvis_4_z,-0.0002408477842003376
