joint,importance
L_foot_1,3.664386502566508e-16
L_foot_2,0.00028901734104082023
L_foot_3,-0.003131021194604622
L_foot_4,-0.0010115606936413892
L_shank_1,-0.0012524084778417154
L_shank_2,0.0005298651252410802
L_shank_3,-0.0029383429672443224
L_shank_4,-0.0007225433526009794
L_thigh_1,-0.0027456647398840348
L_thigh_2,-0.0031791907514448045
L_thigh_3,-0.0013005780346818541
L_thigh_4,-0.0032755298651248595
R_foot_1,-0.001974951830442784
R_foot_2,-0.0013005780346816876
R_foot_3,-0.003468208092485281
R_foot_4,-0.0007707129094408406
R_shank_1,-0.0014932562620420529
R_shank_2,-0.0018786127167626622
R_shank_3,-0.0030828516377645943
R_shank_4,-0.0018786127167626841
R_thigh_1,-0.0024084778420036864
R_thigh_2,-0.0011560693641615607
R_thigh_3,-0.00351637764932542
R_thigh_4,-0.0033236994219650426
pelvis_1,-0.0022157996146431437
pelvis_2,0.00019267822736057633
pelvis_3,9.633911368048819e-05
pelvis_4,-0.0021676300578031605
